time,sourceId,referenceTime,dew_point_temperature
1399334400,sn99840:0,2014-05-06 00:00:00+00:00,-6.7
1399338000,sn99840:0,2014-05-06 01:00:00+00:00,-6.7
1399341600,sn99840:0,2014-05-06 02:00:00+00:00,-6.7
1399345200,sn99840:0,2014-05-06 03:00:00+00:00,-5.7
1399348800,sn99840:0,2014-05-06 04:00:00+00:00,-6.0
1399352400,sn99840:0,2014-05-06 05:00:00+00:00,-6.4
1399356000,sn99840:0,2014-05-06 06:00:00+00:00,-5.0
1399359600,sn99840:0,2014-05-06 07:00:00+00:00,-4.7
1399363200,sn99840:0,2014-05-06 08:00:00+00:00,-3.8
1399366800,sn99840:0,2014-05-06 09:00:00+00:00,-4.1
1399370400,sn99840:0,2014-05-06 10:00:00+00:00,-4.7
1399374000,sn99840:0,2014-05-06 11:00:00+00:00,-3.3
1399377600,sn99840:0,2014-05-06 12:00:00+00:00,-4.1
1399381200,sn99840:0,2014-05-06 13:00:00+00:00,-4.4
1399384800,sn99840:0,2014-05-06 14:00:00+00:00,-3.8
1399388400,sn99840:0,2014-05-06 15:00:00+00:00,-3.8
1399392000,sn99840:0,2014-05-06 16:00:00+00:00,-4.1
1399395600,sn99840:0,2014-05-06 17:00:00+00:00,-4.1
1399399200,sn99840:0,2014-05-06 18:00:00+00:00,-4.4
1399402800,sn99840:0,2014-05-06 19:00:00+00:00,-4.4
1399406400,sn99840:0,2014-05-06 20:00:00+00:00,-4.7
1399410000,sn99840:0,2014-05-06 21:00:00+00:00,-4.7
1399413600,sn99840:0,2014-05-06 22:00:00+00:00,-5.7
1399417200,sn99840:0,2014-05-06 23:00:00+00:00,-5.7
1399420800,sn99840:0,2014-05-07 00:00:00+00:00,-5.7
1399424400,sn99840:0,2014-05-07 01:00:00+00:00,-6.0
1399428000,sn99840:0,2014-05-07 02:00:00+00:00,-6.0
1399431600,sn99840:0,2014-05-07 03:00:00+00:00,-5.7
1399435200,sn99840:0,2014-05-07 04:00:00+00:00,-5.0
1399438800,sn99840:0,2014-05-07 05:00:00+00:00,-5.4
1399442400,sn99840:0,2014-05-07 06:00:00+00:00,-4.4
1399446000,sn99840:0,2014-05-07 07:00:00+00:00,-4.7
1399449600,sn99840:0,2014-05-07 08:00:00+00:00,-4.7
1399453200,sn99840:0,2014-05-07 09:00:00+00:00,-4.4
1399456800,sn99840:0,2014-05-07 10:00:00+00:00,-4.7
1399460400,sn99840:0,2014-05-07 11:00:00+00:00,-4.1
1399464000,sn99840:0,2014-05-07 12:00:00+00:00,-4.1
1399467600,sn99840:0,2014-05-07 13:00:00+00:00,-4.1
1399471200,sn99840:0,2014-05-07 14:00:00+00:00,-4.4
1399474800,sn99840:0,2014-05-07 15:00:00+00:00,-3.6
1399478400,sn99840:0,2014-05-07 16:00:00+00:00,-3.8
1399482000,sn99840:0,2014-05-07 17:00:00+00:00,-4.4
1399485600,sn99840:0,2014-05-07 18:00:00+00:00,-5.0
1399489200,sn99840:0,2014-05-07 19:00:00+00:00,-5.7
1399492800,sn99840:0,2014-05-07 20:00:00+00:00,-5.7
1399496400,sn99840:0,2014-05-07 21:00:00+00:00,-4.4
1399500000,sn99840:0,2014-05-07 22:00:00+00:00,-4.7
1399503600,sn99840:0,2014-05-07 23:00:00+00:00,-3.0
1399507200,sn99840:0,2014-05-08 00:00:00+00:00,-4.1
1399510800,sn99840:0,2014-05-08 01:00:00+00:00,-4.4
1399514400,sn99840:0,2014-05-08 02:00:00+00:00,-4.7
1399518000,sn99840:0,2014-05-08 03:00:00+00:00,-3.8
1399521600,sn99840:0,2014-05-08 04:00:00+00:00,-3.8
1399525200,sn99840:0,2014-05-08 05:00:00+00:00,-3.0
1399528800,sn99840:0,2014-05-08 06:00:00+00:00,-1.7
1399532400,sn99840:0,2014-05-08 07:00:00+00:00,-2.2
1399536000,sn99840:0,2014-05-08 08:00:00+00:00,-3.3
1399539600,sn99840:0,2014-05-08 09:00:00+00:00,-3.8
1399543200,sn99840:0,2014-05-08 10:00:00+00:00,-4.4
1399546800,sn99840:0,2014-05-08 11:00:00+00:00,-5.3
1399550400,sn99840:0,2014-05-08 12:00:00+00:00,-6.0
1399554000,sn99840:0,2014-05-08 13:00:00+00:00,-6.7
1399557600,sn99840:0,2014-05-08 14:00:00+00:00,-7.0
1399561200,sn99840:0,2014-05-08 15:00:00+00:00,-7.8
1399564800,sn99840:0,2014-05-08 16:00:00+00:00,-7.4
1399568400,sn99840:0,2014-05-08 17:00:00+00:00,-7.0
1399572000,sn99840:0,2014-05-08 18:00:00+00:00,-6.3
1399575600,sn99840:0,2014-05-08 19:00:00+00:00,-5.0
1399579200,sn99840:0,2014-05-08 20:00:00+00:00,-5.0
1399582800,sn99840:0,2014-05-08 21:00:00+00:00,-4.7
1399586400,sn99840:0,2014-05-08 22:00:00+00:00,-5.0
1399590000,sn99840:0,2014-05-08 23:00:00+00:00,-5.0
1399593600,sn99840:0,2014-05-09 00:00:00+00:00,-5.3
1399597200,sn99840:0,2014-05-09 01:00:00+00:00,-5.7
1399600800,sn99840:0,2014-05-09 02:00:00+00:00,-5.3
1399604400,sn99840:0,2014-05-09 03:00:00+00:00,-4.7
1399608000,sn99840:0,2014-05-09 04:00:00+00:00,-4.4
1399611600,sn99840:0,2014-05-09 05:00:00+00:00,-4.7
1399615200,sn99840:0,2014-05-09 06:00:00+00:00,-4.7
1399618800,sn99840:0,2014-05-09 07:00:00+00:00,-4.7
1399622400,sn99840:0,2014-05-09 08:00:00+00:00,-4.4
1399626000,sn99840:0,2014-05-09 09:00:00+00:00,-5.0
1399629600,sn99840:0,2014-05-09 10:00:00+00:00,-4.7
1399633200,sn99840:0,2014-05-09 11:00:00+00:00,-5.3
1399636800,sn99840:0,2014-05-09 12:00:00+00:00,-5.7
1399640400,sn99840:0,2014-05-09 13:00:00+00:00,-8.9
1399644000,sn99840:0,2014-05-09 14:00:00+00:00,-7.8
1399647600,sn99840:0,2014-05-09 15:00:00+00:00,-7.4
1399651200,sn99840:0,2014-05-09 16:00:00+00:00,-7.8
1399654800,sn99840:0,2014-05-09 17:00:00+00:00,-7.0
1399658400,sn99840:0,2014-05-09 18:00:00+00:00,-8.5
1399662000,sn99840:0,2014-05-09 19:00:00+00:00,-10.2
1399665600,sn99840:0,2014-05-09 20:00:00+00:00,-9.8
1399669200,sn99840:0,2014-05-09 21:00:00+00:00,-10.2
1399672800,sn99840:0,2014-05-09 22:00:00+00:00,-11.6
1399676400,sn99840:0,2014-05-09 23:00:00+00:00,-10.2
1399680000,sn99840:0,2014-05-10 00:00:00+00:00,-10.7
1399683600,sn99840:0,2014-05-10 01:00:00+00:00,-8.1
1399687200,sn99840:0,2014-05-10 02:00:00+00:00,-8.5
1399690800,sn99840:0,2014-05-10 03:00:00+00:00,-8.9
1399694400,sn99840:0,2014-05-10 04:00:00+00:00,-9.8
1399698000,sn99840:0,2014-05-10 05:00:00+00:00,-10.2
1399701600,sn99840:0,2014-05-10 06:00:00+00:00,-10.2
1399705200,sn99840:0,2014-05-10 07:00:00+00:00,-10.2
1399708800,sn99840:0,2014-05-10 08:00:00+00:00,-10.7
1399712400,sn99840:0,2014-05-10 09:00:00+00:00,-11.2
1399716000,sn99840:0,2014-05-10 10:00:00+00:00,-10.7
1399719600,sn99840:0,2014-05-10 11:00:00+00:00,-11.2
1399723200,sn99840:0,2014-05-10 12:00:00+00:00,-11.2
1399726800,sn99840:0,2014-05-10 13:00:00+00:00,-11.6
1399730400,sn99840:0,2014-05-10 14:00:00+00:00,-11.2
1399734000,sn99840:0,2014-05-10 15:00:00+00:00,-11.2
1399737600,sn99840:0,2014-05-10 16:00:00+00:00,-12.1
1399741200,sn99840:0,2014-05-10 17:00:00+00:00,-12.7
1399744800,sn99840:0,2014-05-10 18:00:00+00:00,-12.7
1399748400,sn99840:0,2014-05-10 19:00:00+00:00,-12.7
1399752000,sn99840:0,2014-05-10 20:00:00+00:00,-13.2
1399755600,sn99840:0,2014-05-10 21:00:00+00:00,-12.7
1399759200,sn99840:0,2014-05-10 22:00:00+00:00,-12.1
1399762800,sn99840:0,2014-05-10 23:00:00+00:00,-12.7
1399766400,sn99840:0,2014-05-11 00:00:00+00:00,-12.7
1399770000,sn99840:0,2014-05-11 01:00:00+00:00,-13.2
1399773600,sn99840:0,2014-05-11 02:00:00+00:00,-13.8
1399777200,sn99840:0,2014-05-11 03:00:00+00:00,-14.4
1399780800,sn99840:0,2014-05-11 04:00:00+00:00,-14.4
1399784400,sn99840:0,2014-05-11 05:00:00+00:00,-14.4
1399788000,sn99840:0,2014-05-11 06:00:00+00:00,-14.4
1399791600,sn99840:0,2014-05-11 07:00:00+00:00,-14.4
1399795200,sn99840:0,2014-05-11 08:00:00+00:00,-13.8
1399798800,sn99840:0,2014-05-11 09:00:00+00:00,-15.0
1399802400,sn99840:0,2014-05-11 10:00:00+00:00,-14.4
1399806000,sn99840:0,2014-05-11 11:00:00+00:00,-14.4
1399809600,sn99840:0,2014-05-11 12:00:00+00:00,-13.8
1399813200,sn99840:0,2014-05-11 13:00:00+00:00,-14.4
1399816800,sn99840:0,2014-05-11 14:00:00+00:00,-15.6
1399820400,sn99840:0,2014-05-11 15:00:00+00:00,-15.6
1399824000,sn99840:0,2014-05-11 16:00:00+00:00,-16.3
1399827600,sn99840:0,2014-05-11 17:00:00+00:00,-17.0
1399831200,sn99840:0,2014-05-11 18:00:00+00:00,-16.3
1399834800,sn99840:0,2014-05-11 19:00:00+00:00,-16.3
1399838400,sn99840:0,2014-05-11 20:00:00+00:00,-16.3
1399842000,sn99840:0,2014-05-11 21:00:00+00:00,-15.6
1399845600,sn99840:0,2014-05-11 22:00:00+00:00,-15.6
1399849200,sn99840:0,2014-05-11 23:00:00+00:00,-16.3
1399852800,sn99840:0,2014-05-12 00:00:00+00:00,-16.3
1399856400,sn99840:0,2014-05-12 01:00:00+00:00,-14.4
1399860000,sn99840:0,2014-05-12 02:00:00+00:00,-14.4
1399863600,sn99840:0,2014-05-12 03:00:00+00:00,-15.6
1399867200,sn99840:0,2014-05-12 04:00:00+00:00,-15.6
